"","201141_at","204146_at","216228_s_at","209074_s_at","216307_at","209955_s_at","205543_at","202580_x_at","219918_s_at","219301_s_at","205240_at","202095_s_at","204416_x_at","202351_at","204444_at","205680_at","204641_at","207521_s_at","218413_s_at","219978_s_at","218585_s_at","211668_s_at","204285_s_at","213008_at","218726_at","220651_s_at","206998_x_at","221226_s_at","219523_s_at","219148_at","211568_at","213194_at","205476_at","213668_s_at","216918_s_at","201291_s_at","204822_at","221171_at","205881_at","219692_at","221210_s_at","204775_at","216952_s_at","210405_x_at","207647_at","214121_x_at","204709_s_at","202503_s_at","203213_at","204825_at"
"GSM342152",7.86459474718412,4.12305363278077,1.29742035102157,6.18253737425724,-0.877139130234524,4.28101568277577,3.33206340977255,3.19357621737705,5.71984602976184,3.91516711505404,2.40686043755038,5.20759616306541,6.07987513869058,8.01931828623054,5.08834516129908,4.84087105858922,4.86283321607135,5.05495697886014,4.85646287946995,5.41091429646512,5.81613631096723,5.01983087956653,6.23547242160242,1.69836074005849,5.89962036066558,4.4379667443516,8.19106415103319,1.77780473351387,1.81448889997341,5.33081651322948,2.14905120692466,7.25499079007586,10.415593900313,2.00432160595009,4.43609519443439,5.1996998244802,5.08015877295943,0.74229084010513,4.99895366675371,3.93090761283035,5.90597659928656,3.27244279398326,5.58097756848426,5.5970782124871,-0.956050823936211,-0.132445080135623,3.1902086993994,8.23614338268633,6.3871936374644,6.03636046381058
"GSM342153",7.40563504425337,1.8673311329936,-0.165445721712038,7.98738340258397,-0.375831710973336,2.90929884699052,4.12349238724723,1.61018978505224,0.550299826938879,2.08119303237017,1.83858071170936,3.08837230105304,3.18792290125102,6.5168818908212,1.2477817179465,4.38676267192992,2.07852786105841,8.75859633470539,6.11663299118165,2.7219500594451,1.50256992767054,3.90172613265012,3.4475659728857,2.69027851863318,1.79053434886878,1.57578185635256,13.0094017627745,0.899330334790445,2.95994630901834,4.02282940159131,3.66275238936482,3.91480367725178,1.55701299722294,1.78169542894335,4.73681590679055,1.25616527726306,1.91034123940924,2.64921075795973,2.20446628829752,3.67012651462842,0.908713010616403,2.22308886881311,3.06734959825222,3.0235161850191,-0.407120591497663,1.3461342832834,0.236731389524796,5.81196931134799,-0.696187695496744,4.22117334436029
"GSM342154",6.90492960270191,3.5812789298154,1.38168760276969,3.5559142942434,-0.170254334171923,2.18696637911852,0.775160135774936,2.59917494553326,2.87533971836784,1.25702269091736,0.645526440487544,3.84344122438358,5.75171275416805,5.97902613028198,4.51434322498316,2.63750591772736,1.19339328194622,6.41872461771662,4.91790430144998,3.04511965621383,5.2396157126113,5.83330251534794,7.07843905102752,4.65246354928773,4.50931580196783,1.99217745725311,2.41194953453957,1.38492842238386,0.884183709402796,4.19461503988525,2.66585888817453,7.05834896885322,7.87191755517366,1.04488367823976,2.90003596277044,1.89920270493233,4.22002033044637,1.69422498250541,0.267427928986409,4.41945124849875,4.99130414992858,1.55375368860475,6.03584381599453,3.08976253030974,-0.883784311751533,0.117960952732417,-0.586795887870504,7.09380311190696,4.75638819288938,5.34203198671327
"GSM342155",8.64992077804468,6.28302721665789,4.59913327882071,1.78006227861157,3.2813421683082,5.48510476108097,7.25018470347096,6.62125042515282,7.11361716178545,6.46626982770876,4.98663392135294,7.29787921118576,7.63974587268096,9.76033406848759,6.88113843885625,6.24367860040759,6.47375769382218,2.51904112651175,4.76717805811926,6.14167188506626,7.74986272496529,7.58497001473826,9.41723860613304,6.52714229326429,6.86188094535615,6.65211358319725,2.27741052965323,5.12369516261922,5.45308292738104,7.23149961078825,1.35586200632929,8.90265850009764,10.2249904740074,6.78209398956379,8.10823693455218,6.18329594226403,6.06665754340275,4.19456776527494,5.52804927886903,7.65979614826371,8.52219702287752,5.87064090142766,7.77461577056983,6.24083902377172,0.432211149171219,3.62594842011959,4.83617157423136,9.59618602824543,7.36147887916056,7.33286901962689
"GSM342156",8.81670849331197,6.43788187783287,3.82589753881843,1.25495678746137,2.31788866980153,5.49752614620694,3.45924799121919,7.23886327149576,7.2165906692058,3.33483997099476,4.87784729591461,6.65429231829801,8.80505056719063,7.81156736111718,6.92225732503319,5.37912186515204,6.83187724119167,3.24896588010587,1.95986287042251,7.37107962706271,8.08482432909796,6.15890450809878,6.59322377913762,7.38907630843813,7.57387436567518,6.37687205395461,1.39285043447206,3.0018580761931,4.22526721655211,6.7144103876784,0.197223771392037,8.92969632958372,11.9924214784405,1.15813663893969,2.95297834795269,6.83644175531923,6.63101258273296,3.21893147297128,4.66260999013214,5.36243482038426,6.67074121515868,4.94068358445782,8.25887220606108,6.78616505706079,2.30838417623052,4.34856528866578,5.85205878164439,10.1000709493511,7.75554858590376,7.77333045418556
"GSM342157",9.3103696613813,5.59228958522448,4.2527108411533,3.05210283570895,-1.41597266869296,6.50443766064474,5.5496938109096,6.11210792250193,6.19141459947472,4.56797736403897,5.05481375467547,7.12482438967919,7.93915016177221,8.24830237562061,5.79321442007713,9.40230222203842,6.19063658738084,3.34644636150158,2.69555737638001,6.56050556510571,6.18114629222258,7.69331967881157,8.8296910271543,5.6493912778752,6.51264092229904,6.07005652502748,1.77793515347044,2.86374224641111,4.09243580162475,6.7771566660045,2.19943678355886,8.16603751625578,11.1746635774138,6.21746145141084,6.87461256057587,5.78651533869853,5.83640640739961,2.97874477453668,3.90737141382356,6.06932623683099,6.88675741620494,4.89222100132782,7.01618428463146,5.54760406044813,1.47213940303553,4.84839259155282,4.02078664092199,9.57662039020937,7.02124651432038,6.81249822533356
"GSM342158",8.82098945271995,5.58702288042121,3.56221799743158,4.80347504291766,0.68657672188006,6.49600048797343,4.2936647616236,4.06923814768419,5.68518329171398,4.37352293570404,4.68226989499416,6.12667350231311,8.17028563012583,8.06038250321517,5.45789301672717,7.60913440368232,5.315414069845,5.00809242094872,1.57162342077298,5.74169618142534,5.67393796411102,7.82846656806769,8.34221248436323,4.70312285384193,5.24200411686874,4.9515458337102,3.90207357931074,3.22255883691595,4.76564082298086,5.59659529402612,-1.65717221505414,8.09364996152919,10.3462145257498,4.57154333327133,6.14673463658145,5.47743772186809,5.57253501281557,3.1800857844626,4.51610342109746,5.86661130027101,6.23133447943351,4.08231938643078,6.40402943601517,5.03028751682708,1.84201738504151,1.57717501223677,4.39384861466649,8.94041638091744,7.02626890819055,6.12946849438407
"GSM342159",11.7330958458951,6.78235614046323,3.05193758302812,0.693828145891786,3.67959269570006,6.64567284127599,5.18717785044982,6.69202261092451,6.44269307532175,6.03816178713579,3.40948598115071,6.65838288188166,6.62575997565344,8.63330405344661,6.05816277889673,8.36528134970792,5.42445185957122,2.73821010305811,1.53604295058493,5.56735378134567,6.80387279762063,8.43411109974969,9.28981602570587,5.25657668807544,6.45090605263057,5.55935720433472,2.05628177933969,3.20699010417936,3.16907035228311,5.69710379364345,-1.15901557654762,8.50565278919611,10.44295386,6.35134564172245,9.40241308492922,5.17549665708575,5.37428833916903,4.37776233705482,4.9863790772811,6.17359119658466,7.32802859878979,4.50549718281427,7.0732418399583,5.8124520172791,2.2247966261871,2.97195181910938,4.11088102382765,8.35871273112857,6.9036408744577,6.09908686547828
"GSM342160",10.5251782017525,5.06921236447736,2.39004579509836,2.00913214952379,3.22139610256253,5.14142870350555,2.11242324216041,5.80702512549864,6.43517017888149,3.49303241812834,4.18606470409757,6.17228348198622,8.03559641909074,7.45098850742467,5.77192254314169,7.38436933388735,5.3372615176975,5.06740209135464,2.32291456096238,6.45059268142739,6.41147031233619,9.7689302964069,8.9882046552233,6.0270500753163,6.27529764378167,5.3269004209687,3.52685756986166,3.07434958125886,3.53166841131515,5.29862532673368,-1.42468766931256,5.221884812541,10.2130191382344,4.03347586267738,7.60723413087409,6.05066276183079,5.09191981778108,3.34249785574996,3.38763825895263,5.23939422248314,6.7034606638214,4.10430310837714,6.48823220067296,5.83372248739242,1.79867682581888,5.12251121407099,4.3817263586256,9.19188584308878,6.3575027410195,7.2434977202919
"GSM342161",7.86772970450036,5.9066765799709,3.12344106814418,1.91282611965976,0.211772290388962,4.84495803747383,7.14413816714416,6.27802192968249,6.76925602110706,7.55027735223134,6.13093086982645,7.03941260276128,5.16323705906219,8.39787567651389,6.73050410252991,7.1534810985137,5.07923302357674,1.26059178008567,1.22275511049629,6.07450543636363,7.08575393319269,8.186703580817,9.94865340585984,6.42395291377316,6.7878503341913,6.12770549520452,2.1866780311795,4.21601244326741,5.29457664034349,7.1180481937935,2.11558264128248,8.32624970083746,11.5362375005373,5.86155345707367,8.11212669345836,6.36766810163419,6.43958158468219,4.3036857828464,5.92860956787545,7.77807055687783,6.05460540320336,5.44926752350235,7.22631584933549,6.41771583203905,3.04716667416126,1.1196881745192,4.01503362867244,9.36758292845115,8.27446202165469,7.11705083857739
